resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
insightagentwindows,virtualmachines,st-access_control-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pkiroot-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pkiroot-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
enablevmaccess,virtualmachines,st-pkiroot-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
enablevmaccess,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-printandfile-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10058-domainjoin,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10058-insight-agent-windows,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dscforlinux,virtualmachines,st-netbase-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
enablevmaccess,virtualmachines,st-netbase-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1l10085-rapid7-insight-agent-linux,virtualmachines,st-netbase-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1l10085-symantec-agent,virtualmachines,st-netbase-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
